iter	Passed	Remaining
163	67549	797411
164	69590	816106
165	71633	834572
166	73675	852782
167	75711	870686
168	76895	878607
169	78929	896080
170	80963	913330
171	83001	930390
172	85036	947197
173	87082	963907
174	88282	971102
175	90326	987428
176	92370	1003545
177	94412	1019443
178	96460	1035197
179	98502	1050698
180	99562	1055579
181	101055	1064970
182	107264	1123644
183	117466	1223186
184	127648	1321336
185	137857	1418601
186	140767	1440045
187	142456	1448813
188	151034	1527127
189	161168	1620163
190	171321	1712321
191	181523	1803893
192	185917	1837022
193	188302	1850025
194	198537	1939555
195	208775	2028104
196	218953	2115072
197	229165	2201374
198	230304	2200040
199	232991	2213415
200	243157	2297291
201	253340	2380400
202	263512	2462479
203	273732	2544098
204	274941	2541531
205	277863	2554726
206	288041	2634117
207	298067	2711269
208	308350	2789909
209	318636	2867730
210	319707	2862217
211	321209	2860584
212	327506	2901432
213	348149	3068273
214	368497	3230779
215	388750	3390764
216	391624	3398287
217	393289	3395277
218	401806	3451128
219	422007	3606247
220	442118	3759007
221	462370	3911407
222	466742	3928589
223	469107	3928775
224	484513	4037612
225	504753	4185437
226	525406	4335184
227	545980	4482785
228	547111	4470068
229	549772	4469893
230	567579	4592230
231	587744	4732356
232	607976	4871638
233	628121	5008869
234	629305	4994279
235	632197	4993289
236	652145	5126358
237	672865	5264179
238	693569	5400554
239	714241	5535371
240	715316	5517728
241	716822	5503539
242	723097	5525895
243	778498	5921693
244	881702	6675745
245	984793	7421979
246	987730	7409974
247	989434	7388842
248	998099	7419603
249	1077973	7977004
250	1178762	8683396
251	1280937	9393543
252	1285320	9383345
253	1287693	9358591
254	1303215	9429147
255	1407217	10136366
256	1510980	10835551
257	1614437	11526333
258	1615596	11483833
259	1618316	11452699
260	1636442	11530335
261	1739282	12201531
262	1840576	12856044
263	1942504	13509238
264	1943728	13459404
265	1946708	13422043
266	1967346	13506165
267	2070386	14152791
268	2172592	14788164
269	2275561	15423252
270	2276642	15365238
271	2278155	15310547
272	2284429	15288107
273	2339706	15592350
274	2544364	16885331
275	2748760	18165718
276	2751701	18109574
277	2753491	18046267
278	2762080	18027775
279	2840870	18465661
280	3042900	19697637
281	3245283	20921722
282	3249673	20864512
283	3252062	20794877
284	3267650	20809776
285	3408675	21620062
286	3612287	22819087
287	3816441	24011776
288	3817560	23922500
289	3820204	23843344
290	3837932	23858487
291	4004975	24797930
292	4208351	25953895
293	4410996	27096121
294	4412185	26996591
295	4415086	26908163
296	4435137	26924421
297	4627614	27983094
298	4833346	29113236
299	5039109	30234657
300	5039123	30117550
301	5039136	30001217
302	5039149	29885651
303	5039163	29770846
304	5039176	29656793
305	5039190	29543487
306	5039204	29430925
307	5039219	29319094
308	5039233	29207987
309	5039248	29097598
310	5039263	28987917
311	5039277	28878939
312	5039292	28770657
313	5039314	28663109
314	5039329	28556199
315	5039343	28449966
316	5039358	28344402
317	5039372	28239503
318	5039387	28135262
319	5039401	28031672
320	5039416	27928728
321	5039430	27826422
322	5039445	27724752
323	5039460	27623708
324	5039474	27523285
325	5039489	27423478
326	5039503	27324282
327	5039518	27225690
328	5039532	27127697
329	5039547	27030299
330	5039573	26933553
331	5039600	26837389
332	5039626	26741801
333	5039652	26646787
334	5039679	26552339
335	5039705	26458454
336	5039731	26365125
337	5039758	26272348
338	5039784	26180118
339	5039810	26088430
340	5039836	25997280
341	5039863	25906664
342	5039889	25816576
343	5039915	25727011
344	5039942	25637965
345	5039968	25549434
346	5039994	25461414
347	5040021	25373899
348	5040047	25286885
349	5040073	25200368
350	5040099	25114344
351	5040126	25028808
352	5040152	24943757
353	5040178	24859186
354	5040204	24775092
355	5040231	24691470
356	5040257	24608316
357	5040284	24525627
358	5040315	24443426
359	5040342	24361653
360	5040463	24280790
361	5040583	24200369
362	5040704	24120393
363	5040824	24040856
364	5040945	23961754
365	5041066	23883084
